Venue_Name,Won_By
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,74
Sawai Mansingh Stadium,22
Subrata Roy Sahara Stadium,22
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5
M Chinnaswamy Stadium,42
Feroz Shah Kotla,8
Wankhede Stadium,27
"MA Chidambaram Stadium, Chepauk",5
"Punjab Cricket Association Stadium, Mohali",7
Eden Gardens,5
Feroz Shah Kotla,5
Subrata Roy Sahara Stadium,7
Eden Gardens,2
M Chinnaswamy Stadium,59
Wankhede Stadium,7
Sawai Mansingh Stadium,5
M Chinnaswamy Stadium,6
"Punjab Cricket Association Stadium, Mohali",8
"Rajiv Gandhi International Stadium, Uppal",9
"MA Chidambaram Stadium, Chepauk",13
"Punjab Cricket Association Stadium, Mohali",5
"MA Chidambaram Stadium, Chepauk",7
Feroz Shah Kotla,20
Wankhede Stadium,6
Barabati Stadium,5
Sawai Mansingh Stadium,46
Subrata Roy Sahara Stadium,8
"Punjab Cricket Association Stadium, Mohali",4
Subrata Roy Sahara Stadium,18
Feroz Shah Kotla,37
"MA Chidambaram Stadium, Chepauk",7
Eden Gardens,47
Feroz Shah Kotla,1
Wankhede Stadium,5
"MA Chidambaram Stadium, Chepauk",5
Barabati Stadium,13
Sawai Mansingh Stadium,6
M Chinnaswamy Stadium,4
Subrata Roy Sahara Stadium,1
"MA Chidambaram Stadium, Chepauk",10
Eden Gardens,7
"Punjab Cricket Association Stadium, Mohali",43
Wankhede Stadium,2
M Chinnaswamy Stadium,5
Feroz Shah Kotla,6
Subrata Roy Sahara Stadium,7
"Rajiv Gandhi International Stadium, Uppal",25
Wankhede Stadium,9
Sawai Mansingh Stadium,4
Subrata Roy Sahara Stadium,35
Eden Gardens,27
"MA Chidambaram Stadium, Chepauk",9
Sawai Mansingh Stadium,45
"Punjab Cricket Association Stadium, Mohali",4
M Chinnaswamy Stadium,5
Eden Gardens,5
Feroz Shah Kotla,5
Wankhede Stadium,32
Himachal Pradesh Cricket Association Stadium,6
Feroz Shah Kotla,21
"Rajiv Gandhi International Stadium, Uppal",5
Himachal Pradesh Cricket Association Stadium,6
Subrata Roy Sahara Stadium,34
"Rajiv Gandhi International Stadium, Uppal",9
Sawai Mansingh Stadium,10
Subrata Roy Sahara Stadium,18
M Chinnaswamy Stadium,38
"MA Chidambaram Stadium, Chepauk",86
"MA Chidambaram Stadium, Chepauk",5
Eden Gardens,6
M Chinnaswamy Stadium,2
"Rajiv Gandhi International Stadium, Uppal",22
Feroz Shah Kotla,5
"MA Chidambaram Stadium, Chepauk",9
Subrata Roy Sahara Stadium,8
"Rajiv Gandhi International Stadium, Uppal",
Sawai Mansingh Stadium,19
Wankhede Stadium,44
"Punjab Cricket Association Stadium, Mohali",10
M Chinnaswamy Stadium,8
Subrata Roy Sahara Stadium,7
Feroz Shah Kotla,3
Wankhede Stadium,41
"MA Chidambaram Stadium, Chepauk",4
Eden Gardens,48
Sawai Mansingh Stadium,6
"MA Chidambaram Stadium, Chepauk",24
"Punjab Cricket Association Stadium, Mohali",4
M Chinnaswamy Stadium,
Subrata Roy Sahara Stadium,11
Sawai Mansingh Stadium,87
Feroz Shah Kotla,86
"Rajiv Gandhi International Stadium, Uppal",5
Eden Gardens,4
M Chinnaswamy Stadium,7
Feroz Shah Kotla,9
"Punjab Cricket Association Stadium, Mohali",7
"MA Chidambaram Stadium, Chepauk",5
M Chinnaswamy Stadium,130
Himachal Pradesh Cricket Association Stadium,7
Eden Gardens,5
"MA Chidambaram Stadium, Chepauk",5
Eden Gardens,6
Sawai Mansingh Stadium,8
Wankhede Stadium,58
"MA Chidambaram Stadium, Chepauk",14
Shaheed Veer Narayan Singh International Stadium,15
Sawai Mansingh Stadium,4
Wankhede Stadium,4
Subrata Roy Sahara Stadium,37
"Rajiv Gandhi International Stadium, Uppal",7
Shaheed Veer Narayan Singh International Stadium,7
"MA Chidambaram Stadium, Chepauk",15
Subrata Roy Sahara Stadium,17
Eden Gardens,8
"Rajiv Gandhi International Stadium, Uppal",6
M Chinnaswamy Stadium,7
Wankhede Stadium,60
Sawai Mansingh Stadium,5
M Chinnaswamy Stadium,7
Sawai Mansingh Stadium,9
Wankhede Stadium,65
"Rajiv Gandhi International Stadium, Uppal",77
"Punjab Cricket Association Stadium, Mohali",8
Subrata Roy Sahara Stadium,46
Feroz Shah Kotla,4
Subrata Roy Sahara Stadium,5
"Punjab Cricket Association Stadium, Mohali",30
JSCA International Stadium Complex,5
Sawai Mansingh Stadium,5
Feroz Shah Kotla,5
Wankhede Stadium,7
JSCA International Stadium Complex,7
"MA Chidambaram Stadium, Chepauk",33
Wankhede Stadium,14
"Punjab Cricket Association Stadium, Mohali",6
"Rajiv Gandhi International Stadium, Uppal",23
Himachal Pradesh Cricket Association Stadium,50
Subrata Roy Sahara Stadium,38
M Chinnaswamy Stadium,24
"Rajiv Gandhi International Stadium, Uppal",5
Feroz Shah Kotla,48
Feroz Shah Kotla,4
Eden Gardens,4
Eden Gardens,23
Sheikh Zayed Stadium,41
Sharjah Cricket Stadium,8
Sheikh Zayed Stadium,6
Sheikh Zayed Stadium,4
Dubai International Cricket Stadium,7
Dubai International Cricket Stadium,4
Sharjah Cricket Stadium,7
Sheikh Zayed Stadium,93
Sharjah Cricket Stadium,72
Dubai International Cricket Stadium,7
Sharjah Cricket Stadium,2
Dubai International Cricket Stadium,4
Dubai International Cricket Stadium,7
Sheikh Zayed Stadium,6
Sheikh Zayed Stadium,23
Sharjah Cricket Stadium,6
Sharjah Cricket Stadium,5
Dubai International Cricket Stadium,5
Sheikh Zayed Stadium,
Dubai International Cricket Stadium,15
JSCA International Stadium Complex,34
Wankhede Stadium,5
Feroz Shah Kotla,7
M Chinnaswamy Stadium,4
"Sardar Patel Stadium, Motera",10
Feroz Shah Kotla,8
Wankhede Stadium,19
Feroz Shah Kotla,8
Barabati Stadium,44
"Sardar Patel Stadium, Motera",32
M Chinnaswamy Stadium,32
Feroz Shah Kotla,8
Wankhede Stadium,4
Barabati Stadium,9
M Chinnaswamy Stadium,5
"Rajiv Gandhi International Stadium, Uppal",7
JSCA International Stadium Complex,5
M Chinnaswamy Stadium,16
"Rajiv Gandhi International Stadium, Uppal",6
Barabati Stadium,6
"Sardar Patel Stadium, Motera",62
JSCA International Stadium Complex,5
"Rajiv Gandhi International Stadium, Uppal",7
"Sardar Patel Stadium, Motera",25
Feroz Shah Kotla,4
"Rajiv Gandhi International Stadium, Uppal",7
Eden Gardens,8
"Punjab Cricket Association Stadium, Mohali",7
Eden Gardens,30
JSCA International Stadium Complex,6
Wankhede Stadium,15
"Punjab Cricket Association Stadium, Mohali",16
M Chinnaswamy Stadium,8
Eden Gardens,4
"Punjab Cricket Association Stadium, Mohali",7
Wankhede Stadium,5
Eden Gardens,28
Brabourne Stadium,7
Wankhede Stadium,24
M Chinnaswamy Stadium,3
Eden Gardens,7
"MA Chidambaram Stadium, Chepauk",1
Maharashtra Cricket Association Stadium,26
"MA Chidambaram Stadium, Chepauk",45
Eden Gardens,3
Feroz Shah Kotla,3
Wankhede Stadium,18
M Chinnaswamy Stadium,8
"Sardar Patel Stadium, Motera",7
Eden Gardens,7
Maharashtra Cricket Association Stadium,5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6
Wankhede Stadium,6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4
Maharashtra Cricket Association Stadium,4
"Sardar Patel Stadium, Motera",8
M Chinnaswamy Stadium,18
Feroz Shah Kotla,6
"Sardar Patel Stadium, Motera",
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,16
M Chinnaswamy Stadium,27
Feroz Shah Kotla,37
"Sardar Patel Stadium, Motera",9
Wankhede Stadium,20
"MA Chidambaram Stadium, Chepauk",97
Feroz Shah Kotla,10
"Punjab Cricket Association Stadium, Mohali",20
Eden Gardens,13
M Chinnaswamy Stadium,
"MA Chidambaram Stadium, Chepauk",2
Feroz Shah Kotla,9
Wankhede Stadium,8
M Chinnaswamy Stadium,7
"Rajiv Gandhi International Stadium, Uppal",22
"Punjab Cricket Association Stadium, Mohali",23
Brabourne Stadium,14
"MA Chidambaram Stadium, Chepauk",24
Eden Gardens,35
Wankhede Stadium,5
M Chinnaswamy Stadium,138
Brabourne Stadium,7
"MA Chidambaram Stadium, Chepauk",6
Eden Gardens,1
Shaheed Veer Narayan Singh International Stadium,6
Wankhede Stadium,39
"MA Chidambaram Stadium, Chepauk",12
"Rajiv Gandhi International Stadium, Uppal",5
Shaheed Veer Narayan Singh International Stadium,6
"Punjab Cricket Association Stadium, Mohali",22
Wankhede Stadium,5
"Rajiv Gandhi International Stadium, Uppal",6
"Punjab Cricket Association Stadium, Mohali",7
Brabourne Stadium,9
M Chinnaswamy Stadium,
"Rajiv Gandhi International Stadium, Uppal",9
Wankhede Stadium,25
Maharashtra Cricket Association Stadium,71
JSCA International Stadium Complex,3
Eden Gardens,41
Wankhede Stadium,9
Eden Gardens,9
"Punjab Cricket Association IS Bindra Stadium, Mohali",5
M Chinnaswamy Stadium,45
Eden Gardens,6
Saurashtra Cricket Association Stadium,7
Feroz Shah Kotla,8
"Rajiv Gandhi International Stadium, Uppal",8
Wankhede Stadium,3
"Punjab Cricket Association IS Bindra Stadium, Mohali",6
M Chinnaswamy Stadium,7
"Rajiv Gandhi International Stadium, Uppal",7
"Punjab Cricket Association IS Bindra Stadium, Mohali",6
Wankhede Stadium,6
Saurashtra Cricket Association Stadium,10
Maharashtra Cricket Association Stadium,13
Feroz Shah Kotla,10
"Rajiv Gandhi International Stadium, Uppal",5
Saurashtra Cricket Association Stadium,6
Maharashtra Cricket Association Stadium,2
"Punjab Cricket Association IS Bindra Stadium, Mohali",25
"Rajiv Gandhi International Stadium, Uppal",34
Feroz Shah Kotla,1
Wankhede Stadium,6
Maharashtra Cricket Association Stadium,3
Feroz Shah Kotla,27
"Rajiv Gandhi International Stadium, Uppal",15
Saurashtra Cricket Association Stadium,23
Maharashtra Cricket Association Stadium,8
M Chinnaswamy Stadium,5
Saurashtra Cricket Association Stadium,8
Eden Gardens,7
Feroz Shah Kotla,7
"Rajiv Gandhi International Stadium, Uppal",5
M Chinnaswamy Stadium,7
"Punjab Cricket Association IS Bindra Stadium, Mohali",9
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,85
Eden Gardens,5
"Punjab Cricket Association IS Bindra Stadium, Mohali",1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4
M Chinnaswamy Stadium,6
"Rajiv Gandhi International Stadium, Uppal",7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7
M Chinnaswamy Stadium,144
Eden Gardens,8
"Punjab Cricket Association IS Bindra Stadium, Mohali",7
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,80
Eden Gardens,9
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19
M Chinnaswamy Stadium,82
Green Park,6
Shaheed Veer Narayan Singh International Stadium,6
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4
Green Park,6
Eden Gardens,22
Shaheed Veer Narayan Singh International Stadium,6
M Chinnaswamy Stadium,4
Feroz Shah Kotla,22
Feroz Shah Kotla,4
M Chinnaswamy Stadium,8
